Date | Hour | Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
21:15 - 21:30,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79,2591.79
21:30 - 21:45,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07,2591.07
21:45 - 22:00,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57,2497.57
23,22:00 - 22:15,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65,2210.65
22:15 - 22:30,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76,2099.76
22:30 - 22:45,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37,2098.37
22:45 - 23:00,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97,2079.97
24,23:00 - 23:15,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24,2130.24
23:15 - 23:30,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22,2319.22
23:30 - 23:45,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68,2409.68
23:45 - 24:00,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04,2497.04
